Anno,Paese di nascita,Maschi,Femmine,Totale
2024,Italia,25677477,26620149,52297626
2024,Afghanistan,13803,3472,17275
2024,Albania,282308,274756,557064
2024,Algeria,15187,8520,23707
2024,Andorra,20,26,46
2024,Angola,892,1040,1932
2024,Antigua e Barbuda,14,15,29
2024,Arabia Saudita,815,657,1472
2024,Argentina,49601,53254,102855
2024,Armenia,890,1405,2295
2024,Australia,8594,10591,19185
2024,Austria,4894,10124,15018
2024,Azerbaigian,637,927,1564
2024,Bahamas,65,49,114
2024,Bahrein,49,56,105
2024,Bangladesh,141618,46553,188171
2024,Barbados,15,30,45
2024,Belgio,19178,25172,44350
2024,Belize,13,9,22
2024,Benin,2279,1214,3493
2024,Bhutan,14,14,28
2024,Bielorussia,3360,11546,14906
2024,Bolivia,5619,9609,15228
2024,Bosnia-Erzegovina,14895,14693,29588
2024,Botswana,25,34,59
2024,Brasile,52861,88224,141085
2024,Brunei Darussalam,14,19,33
2024,Bulgaria,17581,33378,50959
2024,Burkina Faso,13302,4710,18012
2024,Burundi,625,800,1425
2024,Cambogia,782,608,1390
2024,Camerun,9284,7602,16886
2024,Canada,10920,13423,24343
2024,Capo Verde,1561,4332,5893
2024,Ciad,404,131,535
2024,Cile,5837,7653,13490
2024,Cina,117385,119476,236861
2024,Cipro,237,282,519
2024,Colombia,17923,30429,48352
2024,Comore,11,5,16
2024,Congo,1609,1500,3109
2024,Corea del Nord,19,24,43
2024,Corea del Sud,1791,2740,4531
2024,Costa d'Avorio,24054,13289,37343
2024,Costa Rica,721,1140,1861
2024,Croazia,9012,13612,22624
2024,Cuba,11248,31412,42660
2024,Danimarca,1168,1957,3125
2024,Dominica,38,96,134
2024,Ecuador,31345,49117,80462
2024,Egitto,118888,51140,170028
2024,El Salvador,9492,14869,24361
2024,Emirati Arabi Uniti,595,489,1084
2024,Eritrea,4504,5050,9554
2024,Estonia,284,1241,1525
2024,Eswatini,12,29,41
2024,Etiopia,10965,14964,25929
2024,Federazione russa,21168,66768,87936
2024,Figi,13,28,41
2024,Filippine,58577,88707,147284
2024,Finlandia,615,2005,2620
2024,Francia,48554,71219,119773
2024,Gabon,300,345,645
2024,Gambia,23227,1024,24251
2024,Georgia,4274,29119,33393
2024,Germania,89343,114548,203891
2024,Ghana,33142,15936,49078
2024,Giamaica,161,220,381
2024,Giappone,2251,6022,8273
2024,Gibuti,32,46,78
2024,Giordania,2081,958,3039
2024,Grecia,7705,8608,16313
2024,Grenada,4,11,15
2024,Guatemala,991,1587,2578
2024,Guinea,11777,2040,13817
2024,Guinea-Bissau,2416,353,2769
2024,Guinea Equatoriale,68,125,193
2024,Guyana,16,57,73
2024,Haiti,460,572,1032
2024,Honduras,1462,3320,4782
2024,India,110903,79435,190338
2024,Indonesia,804,3425,4229
2024,Iran,13593,12822,26415
2024,Iraq,6135,1908,8043
2024,Irlanda,1949,2276,4225
2024,Islanda,95,117,212
2024,Isole Marshall,0,2,2
2024,Isole Salomone,2,8,10
2024,Israele,2507,1886,4393
2024,Kazakhstan,905,4400,5305
2024,Kenya,1813,2955,4768
2024,Kirghizistan,509,2373,2882
2024,Kiribati,4,19,23
2024,Kosovo,24856,19781,44637
2024,Kuwait,426,316,742
2024,Laos,103,160,263
2024,Lesotho,11,8,19
2024,Lettonia,816,2932,3748
2024,Libano,5737,3595,9332
2024,Liberia,1822,328,2150
2024,Libia,14755,15331,30086
2024,Liechtenstein,39,53,92
2024,Lituania,1442,4829,6271
2024,Lussemburgo,2072,2436,4508
2024,Macedonia del Nord,39002,33386,72388
2024,Madagascar,850,2132,2982
2024,Malawi,87,121,208
2024,Malaysia,287,487,774
2024,Maldive,24,6,30
2024,Mali,21326,1194,22520
2024,Malta,806,1448,2254
2024,Marocco,267189,221844,489033
2024,Mauritania,670,178,848
2024,Maurizio,3176,4406,7582
2024,Messico,3734,7811,11545
2024,Moldova,73698,142513,216211
2024,Monaco,731,786,1517
2024,Mongolia,114,300,414
2024,Montenegro,886,1273,2159
2024,Mozambico,351,619,970
2024,Myanmar/Birmania,189,331,520
2024,Namibia,49,64,113
2024,Nauru,3,2,5
2024,Nepal,1462,1116,2578
2024,Nicaragua,532,1103,1635
2024,Niger,1237,202,1439
2024,Nigeria,60334,45775,106109
2024,Norvegia,758,1035,1793
2024,Nuova Zelanda,448,545,993
2024,Oman,44,46,90
2024,Paesi Bassi,5632,8146,13778
2024,Pakistan,123254,39159,162413
2024,Palau,4,6,10
2024,Palestina,653,229,882
2024,Panama,372,825,1197
2024,Papua Nuova Guinea,14,30,44
2024,Paraguay,973,2335,3308
2024,Perù,52383,83447,135830
2024,Polonia,21284,73663,94947
2024,Portogallo,2742,4193,6935
2024,Qatar,115,102,217
2024,Regno Unito,30044,38141,68185
2024,Repubblica ceca,1850,7791,9641
2024,Repubblica Centrafricana,189,121,310
2024,Repubblica Democratica del Congo,3510,3650,7160
2024,Repubblica Dominicana,16698,34407,51105
2024,Romania,363239,535054,898293
2024,Ruanda,431,579,1010
2024,Saint Kitts e Nevis,3,6,9
2024,Saint Vincent e Grenadine,3,11,14
2024,Samoa,45,74,119
2024,San Marino,878,1161,2039
2024,Santa Lucia,8,12,20
2024,Sao Tomé e Principe,22,53,75
2024,Senegal,96155,30816,126971
2024,Serbia,15604,18828,34432
2024,Seychelles,167,640,807
2024,Sierra Leone,1919,618,2537
2024,Singapore,273,457,730
2024,Siria,5218,3407,8625
2024,Slovacchia,2369,8518,10887
2024,Slovenia,2796,4180,6976
2024,Somalia,8552,4083,12635
2024,Spagna,12925,24001,36926
2024,Sri Lanka,51552,44440,95992
2024,Stati Federati di Micronesia,1,9,10
2024,Stati Uniti d'America,23869,29986,53855
2024,Stato della Città del Vaticano,17,26,43
2024,Sudafrica,2790,3678,6468
2024,Sudan,2615,818,3433
2024,Sud Sudan,67,19,86
2024,Suriname,10,24,34
2024,Svezia,2167,4024,6191
2024,Svizzera,87121,101100,188221
2024,Tagikistan,84,234,318
2024,Taiwan,306,979,1285
2024,Tanzania,870,1125,1995
2024,Thailandia,1715,10012,11727
2024,Timor Leste,11,87,98
2024,Togo,4389,2076,6465
2024,Tonga,20,30,50
2024,Trinidad e Tobago,48,130,178
2024,Tunisia,80754,48099,128853
2024,Turchia,13482,10282,23764
2024,Turkmenistan,47,252,299
2024,Tuvalu,19,41,60
2024,Ucraina,70588,226444,297032
2024,Uganda,567,712,1279
2024,Ungheria,3408,9861,13269
2024,Uruguay,3117,3951,7068
2024,Uzbekistan,611,2297,2908
2024,Vanuatu,13,23,36
2024,Venezuela,27762,38428,66190
2024,Vietnam,2595,3925,6520
2024,Yemen,257,201,458
2024,Zambia,424,507,931
2024,Zimbabwe,452,547,999