Codice regione,Regione,Totale maschi,Totale femmine,Totale
01,Piemonte,2083188,2172514,4255702
02,Valle d'Aosta/Vallée d'Aoste,60285,62429,122714
03,Lombardia,4946391,5089090,10035481
04,Trentino-Alto Adige/Südtirol,538389,547706,1086095
05,Veneto,2392820,2459031,4851851
06,Friuli-Venezia Giulia,584758,609337,1194095
07,Liguria,731614,778294,1509908
08,Emilia-Romagna,2194241,2271437,4465678
09,Toscana,1784130,1876704,3660834
10,Umbria,413891,438063,851954
11,Marche,726773,754479,1481252
12,Lazio,2771470,2938802,5710272
13,Abruzzo,622936,645494,1268430
14,Molise,143062,144904,287966
15,Campania,2726809,2848216,5575025
16,Puglia,1892105,1982061,3874166
17,Basilicata,262604,267293,529897
18,Calabria,899712,932435,1832147
19,Sicilia,2333921,2445450,4779371
20,Sardegna,767700,793639,1561339